"","종목코드","종목명","현재가","대비","등락률","거래량","거래대금","시가","고가","저가","시가총액","시가총액비중...","상장주식수","외국인.보유주식수","외국인.지분율...","총카운트","market"
"42","032640","LG유플러스",17000,-400,-2.3,3039466,52043418450,17600,17900,16850,7422393137000,0.48,436611361,NA,NA,NA,"KS"
"43","004020","현대제철",54300,0,0,210497,11435510900,54700,55000,53900,7246106125500,0.47,133445785,NA,NA,NA,"KS"
"44","034220","LG디스플레이",20100,-150,-0.7,2225027,45048532150,20400,20650,20000,7192095570000,0.46,357815700,NA,NA,NA,"KS"
"45","021240","코웨이",95000,1400,1.5,150642,14293802558,94300,95900,93400,7010963805000,0.45,73799619,NA,NA,NA,"KS"
"46","018880","한온시스템",12000,100,0.8,815423,9807346900,12000,12300,11850,6.4056e+12,0.41,533800000,NA,NA,NA,"KS"
"47","267250","현대중공업지주",390000,7000,1.8,42500,16544045500,381500,390500,381500,6351780630000,0.41,16286617,NA,NA,NA,"KS"
"48","004990","롯데지주",54200,300,0.6,256868,13904244900,54000,55100,53500,6317890045400,0.41,116566237,NA,NA,NA,"KS"
"49","035250","강원랜드",27600,600,2.2,352991,9738417400,27250,27750,27200,5904757800000,0.38,213940500,NA,NA,NA,"KS"
"50","161390","한국타이어",46250,300,0.6,170770,7878657650,45750,46550,45750,5729221941250,0.37,123875069,NA,NA,NA,"KS"
"51","139480","이마트",201500,500,0.2,83626,16859154500,200500,203000,200500,5616977528500,0.36,27875819,NA,NA,NA,"KS"
"52","008930","한미사이언스",88300,-500,-0.6,60937,5411450300,88800,89900,88200,5606985276100,0.36,63499267,NA,NA,NA,"KS"
"53","023530","롯데쇼핑",198000,-500,-0.2,128396,25500986500,199000,202000,195500,5601173490000,0.36,28288755,NA,NA,NA,"KS"
"54","128940","한미약품",490000,2000,0.4,27802,13645981000,489000,496000,486500,5578988590000,0.36,11385691,NA,NA,NA,"KS"
"56","036460","한국가스공사",58700,200,0.3,187310,10994234000,58400,59500,58000,5418773100000,0.35,92313000,NA,NA,NA,"KS"
"57","010140","삼성중공업",7880,70,0.9,2594104,20337922940,7840,7920,7750,4.9644e+12,0.32,6.3e+08,NA,NA,NA,"KS"
"58","078930","GS",53400,1200,2.3,165951,8818581200,52500,53500,52500,4961681185200,0.32,92915378,NA,NA,NA,"KS"
"59","097950","CJ제일제당",327500,-4500,-1.4,38632,12725597500,332000,334500,327000,4929918415000,0.32,15053186,NA,NA,NA,"KS"
"60","086280","현대글로비스",129000,3000,2.4,67981,8731733500,127000,129500,126500,4.8375e+12,0.31,37500000,NA,NA,NA,"KS"
"61","005830","DB손해보험",62800,400,0.6,117115,7378930200,62700,63500,62400,4.44624e+12,0.29,70800000,NA,NA,NA,"KS"
"62","047810","한국항공우주",45500,1050,2.4,749720,33837968100,44850,45500,44400,4435117368500,0.29,97475107,NA,NA,NA,"KS"
"63","088350","한화생명",4915,70,1.4,1137359,5563761260,4865,4915,4860,4268824950000,0.28,868530000,NA,NA,NA,"KS"
"64","029780","삼성카드",36150,0,0,54571,1973514200,36150,36250,35900,4188298909650,0.27,115858891,NA,NA,NA,"KS"
"65","008770","호텔신라",106500,3000,2.9,347592,36821068500,105000,108000,103500,4179924886500,0.27,39248121,NA,NA,NA,"KS"
"66","271560","오리온",105500,0,0,97413,10239625000,106500,107500,103000,4170832885500,0.27,39533961,NA,NA,NA,"KS"
"67","006360","GS건설",52700,100,0.2,372646,19554403400,52800,53200,51900,4119791038100,0.27,78174403,NA,NA,NA,"KS"
"68","001040","CJ",139000,5000,3.7,155629,21475709500,135000,139500,134500,4055602722000,0.26,29176998,NA,NA,NA,"KS"
"69","071050","한국금융지주",71400,2900,4.2,361384,25529295600,69300,71900,69200,3978835828800,0.26,55725992,NA,NA,NA,"KS"
"70","005940","NH투자증권",13750,450,3.4,1363899,18792053950,13400,13950,13400,3869372196250,0.25,281408887,NA,NA,NA,"KS"
"71","000120","CJ대한통운",165500,-500,-0.3,50711,8438832500,167000,169500,164500,3775442932000,0.24,22812344,NA,NA,NA,"KS"
"72","241560","두산밥캣",36200,-400,-1.1,200659,7271938070,36800,36800,35750,3629019809200,0.23,100249166,NA,NA,NA,"KS"
"73","002380","KCC",343000,-3000,-0.9,22605,7740984500,345500,349000,338500,3620883959000,0.23,10556513,NA,NA,NA,"KS"
"74","004170","신세계",348500,10500,3.1,137477,47705147000,343000,352000,337500,3431045578500,0.22,9845181,NA,NA,NA,"KS"
"75","028050","삼성엔지니어링",17450,100,0.6,1525987,26726044250,17350,17650,17300,3.4202e+12,0.22,1.96e+08,NA,NA,NA,"KS"
"76","282330","BGF리테일",197500,-1000,-0.5,16060,3186387000,197500,201500,196500,3413571435000,0.22,17283906,NA,NA,NA,"KS"
"77","003410","쌍용양회",6650,-50,-0.8,1342609,8911984440,6680,6760,6540,3350666306750,0.22,503859595,NA,NA,NA,"KS"
"78","042660","대우조선해양",31250,-500,-1.6,339228,10617299750,31750,31900,30950,3350179750000,0.22,107205752,NA,NA,NA,"KS"
"79","001450","현대해상",36850,1300,3.7,410242,15044558375,35700,37050,35700,3.29439e+12,0.21,89400000,NA,NA,NA,"KS"
"80","012750","에스원",86500,300,0.4,51478,4464666250,86200,87200,85800,3286928897000,0.21,37999178,NA,NA,NA,"KS"
"81","088980","맥쿼리인프라",9240,40,0.4,1167099,10721988340,9200,9250,9160,3225169664640,0.21,349044336,NA,NA,NA,"KS"
"83","011070","LG이노텍",134500,4000,3.1,317857,42477002000,133000,135000,132500,3183225891500,0.21,23667107,NA,NA,NA,"KS"
"84","009830","한화케미칼",19350,250,1.3,625612,12102535900,19150,19500,19150,3156186123900,0.2,163110394,NA,NA,NA,"KS"
"85","017800","현대엘리베이",115000,0,0,712024,82015340000,115500,117500,113000,3123200590000,0.2,27158266,NA,NA,NA,"KS"
"86","011780","금호석유",102000,-500,-0.5,61449,6284659000,101500,103000,101500,3107704482000,0.2,30467691,NA,NA,NA,"KS"
"87","007070","GS리테일",39200,-600,-1.5,213785,8405671200,40000,40050,39000,3.0184e+12,0.19,7.7e+07,NA,NA,NA,"KS"
"88","000100","유한양행",240000,0,0,17168,4119915000,240000,243000,238500,2930244960000,0.19,12209354,NA,NA,NA,"KS"
"89","000210","대림산업",84200,800,1,101670,8571494200,84200,85500,83400,2.93016e+12,0.19,34800000,NA,NA,NA,"KS"
"90","016360","삼성증권",31950,350,1.1,287689,9189376950,31650,32100,31650,2.853135e+12,0.18,89300000,NA,NA,NA,"KS"
"91","079440","오렌지라이프",34300,100,0.3,158399,5421081264,34300,34350,33800,2.8126e+12,0.18,8.2e+07,NA,NA,NA,"KS"
"92","010060","OCI",116500,-1000,-0.8,95027,11149123500,116500,119000,116000,2778451721500,0.18,23849371,NA,NA,NA,"KS"
"93","003490","대한항공",29250,350,1.2,763266,22373426050,29150,29600,28900,2774205544500,0.18,94844634,NA,NA,NA,"KS"
"94","028670","팬오션",5150,40,0.8,983932,5056768560,5140,5160,5110,2752925810150,0.18,534548701,NA,NA,NA,"KS"
"95","294870","HDC현대산업개발",62300,2100,3.5,422793,25934393200,60700,62400,60200,2737351106000,0.18,43938220,NA,NA,NA,"KS"
"96","138930","BNK금융지주",8390,0,0,502133,4226067490,8410,8470,8370,2734596713940,0.18,325935246,NA,NA,NA,"KS"
"97","000150","두산",140500,1500,1.1,69777,9758974000,139000,141000,136500,2697319421500,0.17,19198003,NA,NA,NA,"KS"
"98","064350","현대로템",31550,550,1.8,3042416,95006927200,31200,31850,30600,2.68175e+12,0.17,8.5e+07,NA,NA,NA,"KS"
"99","020150","일진머티리얼즈",55500,300,0.5,418185,23192772500,55600,56500,54600,2559151342500,0.17,46110835,NA,NA,NA,"KS"
"100","008560","메리츠종금증권",4120,40,1,2154387,8903389545,4080,4160,4070,2495241216640,0.16,605641072,NA,NA,NA,"KS"
"101","081660","휠라코리아",40500,-700,-1.7,551534,22316356253,41500,41500,39750,2475160335000,0.16,61115070,NA,NA,NA,"KS"
"102","007310","오뚜기",717000,6000,0.8,6121,4368760000,711000,719000,711000,2.46648e+12,0.16,3440000,NA,NA,NA,"KS"
"104","000880","한화",32200,1250,4,385130,12338992950,31250,32500,31250,2413671267000,0.16,74958735,NA,NA,NA,"KS"
"105","047040","대우건설",5690,90,1.6,1350167,7639817080,5620,5700,5610,2364892810220,0.15,415622638,NA,NA,NA,"KS"
"106","010120","LS산전",78300,-700,-0.9,93931,7359637200,79600,79900,77700,2.349e+12,0.15,3e+07,NA,NA,NA,"KS"
"107","006280","녹십자",198000,1000,0.5,21113,4188486000,197000,199500,197000,2313934524000,0.15,11686538,NA,NA,NA,"KS"
"108","069960","현대백화점",98700,500,0.5,112823,11203564800,98400,100500,98400,2309820926700,0.15,23402441,NA,NA,NA,"KS"
"109","030000","제일기획",20000,250,1.3,134045,2682370150,20000,20250,19800,2300824500000,0.15,115041225,NA,NA,NA,"KS"
"110","006260","LS",70800,100,0.1,137500,9843245300,71300,72900,70600,2.27976e+12,0.15,32200000,NA,NA,NA,"KS"
"111","069620","대웅제약",194000,-1500,-0.8,39818,7724211500,195500,196500,193000,2247795550000,0.15,11586575,NA,NA,NA,"KS"
"112","026960","동서",21300,150,0.7,110609,2363808750,21250,21550,21250,2.12361e+12,0.14,99700000,NA,NA,NA,"KS"
"113","000060","메리츠화재",18550,250,1.4,96708,1789013700,18300,18650,18200,2.108764e+12,0.14,113680000,NA,NA,NA,"KS"
"114","009240","한샘",88300,-800,-0.9,47050,4158389400,89800,90200,87500,2078045842400,0.13,23533928,NA,NA,NA,"KS"
"115","039490","키움증권",93100,1200,1.3,77328,7211647500,92500,94000,92000,2057485794000,0.13,22099740,NA,NA,NA,"KS"
"116","010620","현대미포조선",98600,-200,-0.2,96799,9595205700,99200,101000,98500,1.972e+12,0.13,2e+07,NA,NA,NA,"KS"
"117","042670","두산인프라코어",9410,10,0.1,947729,8932464820,9460,9500,9370,1958753493080,0.13,208156588,NA,NA,NA,"KS"
"119","018250","애경산업",73100,-300,-0.4,131208,9599678400,73600,74200,72700,1916560288500,0.12,26218335,NA,NA,NA,"KS"
"120","003240","태광산업",1645000,-5000,-0.3,568,936127000,1642000,1670000,1612000,1.831543e+12,0.12,1113400,NA,NA,NA,"KS"
"121","120110","코오롱인더",67900,-400,-0.6,128904,8756228200,68500,69200,67400,1824129629700,0.12,26864943,NA,NA,NA,"KS"
"122","011790","SKC",46950,250,0.5,96755,4530241000,47000,47550,46200,1762247357250,0.11,37534555,NA,NA,NA,"KS"
"123","012510","더존비즈온",59000,-1400,-2.3,46845,2769589400,60000,60300,58500,1750689300000,0.11,29672700,NA,NA,NA,"KS"
"124","034020","두산중공업",14850,-50,-0.3,375174,5583151000,15000,15100,14750,1739621886750,0.11,117146255,NA,NA,NA,"KS"
"125","111770","영원무역",39250,-1000,-2.5,168516,6643863350,40050,40050,39200,1739225119000,0.11,44311468,NA,NA,NA,"KS"
"126","139130","DGB금융지주",10250,250,2.5,331052,3371810700,10050,10250,10000,1733744788250,0.11,169145833,NA,NA,NA,"KS"
"127","138040","메리츠금융지주",12100,-50,-0.4,46312,566025850,12150,12350,12100,1696714199400,0.11,140224314,NA,NA,NA,"KS"
"128","161890","한국콜마",75800,2000,2.7,95277,7186484200,74300,76200,74300,1693879708400,0.11,22346698,NA,NA,NA,"KS"
"129","009420","한올바이오파마",32100,350,1.1,278982,8945876550,32100,32400,31750,1676924479800,0.11,52240638,NA,NA,NA,"KS"
"130","071840","롯데하이마트",70600,1500,2.2,39428,2778094200,69100,70900,69100,1666704467200,0.11,23607712,NA,NA,NA,"KS"
"131","000240","한국타이어월드와이드",17850,350,2,33492,593955800,17500,17850,17500,1660410088050,0.11,93020173,NA,NA,NA,"KS"
"132","051600","한전KPS",36100,-200,-0.6,70767,2554935800,36300,36600,35750,1.6245e+12,0.1,4.5e+07,NA,NA,NA,"KS"
"134","204320","만도",34100,750,2.2,377455,12830064500,33400,34400,33400,1601237792000,0.1,46957120,NA,NA,NA,"KS"
"135","192820","코스맥스",155000,2500,1.6,46527,7161036000,152500,155500,152000,1557673895000,0.1,10049509,NA,NA,NA,"KS"
"136","031430","신세계인터내셔날",217500,-500,-0.2,26684,5805861500,221000,221500,215500,1.55295e+12,0.1,7140000,NA,NA,NA,"KS"
"137","073240","금호타이어",5400,-10,-0.2,514100,2763409810,5390,5420,5350,1551205549800,0.1,287260287,NA,NA,NA,"KS"
"138","114090","GKL",24850,550,2.3,289093,7111141750,24400,24900,24200,1537113399500,0.1,61855670,NA,NA,NA,"KS"
"139","004370","농심",248000,0,0,21820,5408271500,250000,252000,245500,1508495216000,0.1,6082642,NA,NA,NA,"KS"
"140","011200","현대상선",4775,-20,-0.4,901485,4291655525,4760,4825,4720,1488872823925,0.1,311805827,NA,NA,NA,"KS"
"142","003520","영진약품",8040,90,1.1,1364806,11036947450,7990,8240,7930,1470457557240,0.09,182892731,NA,NA,NA,"KS"
"143","005250","녹십자홀딩스",31200,300,1,107421,3341610600,31000,31400,30600,1467280152000,0.09,47028210,NA,NA,NA,"KS"
"145","007700","F&F",93200,-800,-0.8,42301,3920933400,94400,94900,92000,1.43528e+12,0.09,15400000,NA,NA,NA,"KS"
"146","004000","롯데정밀화학",55600,-100,-0.2,81136,4518394300,55700,56300,55400,1.43448e+12,0.09,25800000,NA,NA,NA,"KS"
"147","012450","한화에어로스페이스",26600,50,0.2,173828,4633188550,26850,27050,26500,1.384264e+12,0.09,52040000,NA,NA,NA,"KS"
"148","005440","현대그린푸드",14100,-250,-1.7,345182,4884610750,14350,14500,14000,1377633196200,0.09,97704482,NA,NA,NA,"KS"
"149","057050","현대홈쇼핑",114000,1000,0.9,15421,1759598000,113000,115000,113000,1.368e+12,0.09,1.2e+07,NA,NA,NA,"KS"
"150","000670","영풍",740000,12000,1.6,765,564155000,730000,740000,730000,1363109600000,0.09,1842040,NA,NA,NA,"KS"
"151","003000","부광약품",26800,100,0.4,89049,2376390300,26800,26900,26450,1309723584400,0.08,48870283,NA,NA,NA,"KS"
"152","001740","SK네트웍스",5180,-20,-0.4,1044350,5418926020,5200,5240,5150,1285612011460,0.08,248187647,NA,NA,NA,"KS"
"153","180640","한진칼",21700,650,3.1,1486356,32466916200,21300,22250,21100,1283998938600,0.08,59170458,NA,NA,NA,"KS"
"154","006650","대한유화",190000,1500,0.8,51765,9821580000,189000,193000,188500,1.235e+12,0.08,6500000,NA,NA,NA,"KS"
"155","003690","코리안리",10150,-100,-1,271218,2759998400,10250,10300,10100,1221746527400,0.08,120369116,NA,NA,NA,"KS"
"156","049770","동원F&B",316500,-2500,-0.8,6344,2022950000,323000,328000,316500,1221412746000,0.08,3859124,NA,NA,NA,"KS"
"157","214320","이노션",61000,500,0.8,17217,1047390700,60500,61500,60200,1.22e+12,0.08,2e+07,NA,NA,NA,"KS"
"158","001800","오리온홀딩스",19250,50,0.3,62917,1213401250,19350,19450,19150,1205902640250,0.08,62644293,NA,NA,NA,"KS"
"159","181710","NHN엔터테인먼트",61300,100,0.2,50379,3103626300,61000,61900,61000,1199336032500,0.08,19565025,NA,NA,NA,"KS"
"160","000080","하이트진로",17000,-100,-0.6,172860,2944139550,17100,17250,16850,1192271387000,0.08,70133611,NA,NA,NA,"KS"
"161","267270","현대건설기계",118500,1500,1.3,36620,4334640000,117500,119500,116500,1170340957500,0.08,9876295,NA,NA,NA,"KS"
"162","011210","현대위아",42900,-300,-0.7,75572,3261643200,43300,43800,42850,1166669060700,0.08,27195083,NA,NA,NA,"KS"
"163","192400","쿠쿠홀딩스",164000,-1500,-0.9,5975,980051500,164500,166000,162500,1166439668000,0.08,7112437,NA,NA,NA,"KS"
"164","079160","CJ CGV",54700,1800,3.4,382376,20932576200,53800,55900,53700,1157523821100,0.07,21161313,NA,NA,NA,"KS"
"165","010780","아이에스동서",37050,-200,-0.5,84042,3077332100,37300,37500,35500,1142253019050,0.07,30830041,NA,NA,NA,"KS"
"166","005610","SPC삼립",132000,-1000,-0.8,20882,2821833000,134500,137000,132000,1139029188000,0.07,8629009,NA,NA,NA,"KS"
"167","185750","종근당",113500,500,0.4,21579,2460658500,113500,114500,113000,1121293286000,0.07,9879236,NA,NA,NA,"KS"
"168","006390","한일현대시멘트",66600,-100,-0.2,185493,12267542200,66700,67300,64800,1116119030400,0.07,16758544,NA,NA,NA,"KS"
"169","005300","롯데칠성",1396000,-13000,-0.9,998,1394144000,1407000,1418000,1385000,1115887016000,0.07,799346,NA,NA,NA,"KS"
"170","145720","덴티움",1e+05,400,0.4,27659,2767632400,1e+05,100500,99100,1.106883e+12,0.07,11068830,NA,NA,NA,"KS"
"171","005690","파미셀",18450,150,0.8,807456,14842723950,18300,18700,17900,1106242627500,0.07,59958950,NA,NA,NA,"KS"
"172","002210","동성제약",43550,-900,-2,2196154,97134353400,42000,47000,41100,1078148797700,0.07,24756574,NA,NA,NA,"KS"
"173","001440","대한전선",1255,5,0.4,959413,1199190860,1260,1265,1240,1074873626295,0.07,856473009,NA,NA,NA,"KS"
"174","009410","태영건설",13700,100,0.7,304995,4141808400,13600,13750,13350,1.04668e+12,0.07,76400000,NA,NA,NA,"KS"
"175","003090","대웅",18000,-300,-1.6,54109,976353400,18200,18350,17900,1046555640000,0.07,58141980,NA,NA,NA,"KS"
"176","069260","휴켐스",25050,150,0.6,56805,1417620000,25000,25200,24750,1024008629400,0.07,40878588,NA,NA,NA,"KS"
"177","082640","동양생명",6340,70,1.1,56606,356398740,6270,6340,6230,1023013428900,0.07,161358585,NA,NA,NA,"KS"
"178","093370","후성",11000,0,0,640383,7029960350,11100,11150,10900,1018675009000,0.07,92606819,NA,NA,NA,"KS"
"179","023590","다우기술",22550,550,2.5,65092,1458944000,22200,22550,22100,1011742213350,0.07,44866617,NA,NA,NA,"KS"
"180","089590","제주항공",38200,-50,-0.1,43370,1662876650,38600,38650,38100,1006828155600,0.06,26356758,NA,NA,NA,"KS"
"181","285130","SK케미칼",86600,-500,-0.6,28226,2451390900,86600,87600,86300,1002815183200,0.06,11579852,NA,NA,NA,"KS"
"182","006040","동원산업",294000,-5500,-1.8,1718,505891000,300500,300500,292500,988780800000,0.06,3363200,NA,NA,NA,"KS"
"183","033180","필룩스",18000,-100,-0.6,11088228,209180960650,18550,19550,18000,968884110000,0.06,53826895,NA,NA,NA,"KS"
"184","226320","잇츠한불",43650,300,0.7,25345,1103067150,43600,43850,43250,957214599750,0.06,21929315,NA,NA,NA,"KS"
"185","014680","한솔케미칼",84600,900,1.1,58821,4976228100,83700,86200,83700,955573497000,0.06,11295195,NA,NA,NA,"KS"
"186","020000","한섬",38700,400,1,21527,828129200,38200,38950,38150,9.53181e+11,0.06,24630000,NA,NA,NA,"KS"
"187","175330","JB금융지주",6120,-20,-0.3,126760,777292850,6140,6170,6110,951289268760,0.06,155439423,NA,NA,NA,"KS"
"188","284740","쿠쿠홈시스",211000,5500,2.7,1433,300055500,203500,211000,203500,946855326000,0.06,4487466,NA,NA,NA,"KS"
"189","001680","대상",27250,350,1.3,69867,1907753600,26800,27550,26800,944158681250,0.06,34648025,NA,NA,NA,"KS"
"190","002270","롯데푸드",829000,-5000,-0.6,949,784531000,834000,834000,822000,938320230000,0.06,1131870,NA,NA,NA,"KS"
"191","115390","락앤락",17050,600,3.6,101622,1713384050,16450,17150,16400,9.3775e+11,0.06,5.5e+07,NA,NA,NA,"KS"
"192","002350","넥센타이어",9520,60,0.6,63546,604847160,9440,9580,9430,929798189040,0.06,97667877,NA,NA,NA,"KS"
"193","000070","삼양홀딩스",108500,-1500,-1.4,4910,536269000,108500,110500,108000,929223403500,0.06,8564271,NA,NA,NA,"KS"
"194","027410","BGF",9720,-130,-1.3,200633,1963396780,9860,9900,9700,926988419880,0.06,95369179,NA,NA,NA,"KS"
"195","103140","풍산",32550,-50,-0.2,111472,3636258600,32550,32950,32400,912190248900,0.06,28024278,NA,NA,NA,"KS"
"196","001060","JW중외제약",45650,50,0.1,136248,6181937000,45400,46000,44850,899717402100,0.06,19709034,NA,NA,NA,"KS"
"197","085620","미래에셋생명",5050,-10,-0.2,53411,269820260,5040,5070,5040,893931754450,0.06,177016189,NA,NA,NA,"KS"
"198","170900","동아에스티",105500,1000,1,29954,3150242500,104500,106000,104000,890828074000,0.06,8443868,NA,NA,NA,"KS"
"199","006490","인스코비",9820,-50,-0.5,1483557,14604096150,9950,9970,9780,881084416480,0.06,89723464,NA,NA,NA,"KS"
"200","020560","아시아나항공",4245,35,0.8,1162303,4914017780,4225,4250,4200,871223823030,0.06,205235294,NA,NA,NA,"KS"
"201","014820","동원시스템즈",33550,650,2,27279,911581400,33000,33750,32900,859501044050,0.06,25618511,NA,NA,NA,"KS"
"202","001230","동국제강",8930,-80,-0.9,409757,3658784730,9000,9150,8820,852214341410,0.05,95432737,NA,NA,NA,"KS"
