"","PER","PBR","PCR","PSR","Div"
"DDD",-30.8026227130577,3.294567700944,78.5959060945993,3.15578738493876,NA
"MMM",24.4317854790613,10.2646038101946,19.0207714514872,3.74923757327858,0.0236162197255988
"WBAI",-1.19130457049691,0.267958898376619,-1.86826585690335,2.87658283773596,NA
"WUBA",7.58868180597447,0.49771590267789,3.615434207785,0.968535627061074,NA
"EGHT",-16.9234531211422,8.0834563558741,80.2345665260197,5.96441848499157,NA
"AHC",8.44452853301464,0.867885147237945,-7.01045977676726,0.341040402049665,0.0826497831840737
"ATEN",-40.0360145400428,4.37488252718883,30.0703641414,1.82826751300817,NA
"AAC",-8.23515540113708,1.12237084255003,8.78453571428571,0.603687080330713,NA
"AIR",104.074564266667,1.66732720709174,24.2786697356143,0.892935116398787,0.00659783369265178
"AAN",12.2065482402166,2.06646211235622,22.439154152135,1.05530819917085,0.00222971822010765
"ABB",20.6820225544329,3.08855630696808,12.0477272737457,1.33391571208207,0.035722622621437
"ABT",265.95941025641,4.02851422468201,22.3463202872531,4.54432289156627,0.0148551040064561
"ABBV",26.344227008957,27.3055819674946,13.9735493261365,4.9325400938588,0.0295092812832521
"ANF",172.002843529743,0.982138439236336,4.27081235124465,0.349354844546753,0.0445767310716072
"ABM",562.339713157895,1.55331170313295,381.5876625,0.391831250916826,0.0184847994884306
"AKR",36.8335630301835,1.42962825525029,NA,8.67497559559071,0.0388246084319517
"ACN",25.210698331681,9.87511141188604,16.9833066904542,2.58640807490072,0.0166944055079771
"ACCO",8.27494183750949,1.40784115747319,5.31874006832601,0.559220977011494,NA
"ATV",5.07435246230652,0.722420094617447,-7.04001158153448,3.09716261884319,NA
"ATU",-70.8867572062084,2.7465966723464,14.4642579623538,1.29760041129332,0.00155745322433611
"AYI",14.3979399914188,2.93191974662162,14.2511886211778,1.36776713159968,0.00425149810888169
"GOLF",20.1437712399852,2.2774758496087,-68.629039612383,1.18924135880092,0.0192635679392455
"AGRO",96.9590102286402,1.51141799304064,4.07783576896312,1.0361102061986,NA
"ADNT",3.38140064766249,0.693033037625614,3.97518547989276,0.182908059458459,0.017535054448745
"ADT",17.6870517847105,1.76518024807813,3.80673867056969,1.40425412659755,NA
"ATGE",85.2660132073796,1.89519813912588,12.037961611947,2.33863082769728,NA
"AAP",26.2307433150019,3.65216215994631,20.7602293589434,1.33060987963879,0.00143142910983229
"ADSW",NA,2.68285223603889,7.68539860103627,NA,NA
"WMS",29.6905247364444,5.3654062731635,12.036008663944,1.240555151486,0.0111962262636459
"ASIX",NA,NA,NA,NA,NA
"ACM",14.9983641238693,1.2738073824499,7.30677610406314,0.279634257376726,NA
"ANW",-2.48206486504931,0.125886277814889,NA,0.0128195621758293,NA
"AEG",5.33880449204448,0.518317619068184,22.5716544347197,0.231738390033975,0.0347697209724726
"AER",7.4081450651442,0.929201886777059,2.5387680915045,1.59835877711846,NA
"HIVE",-9.74898909535026,10.1912965209065,23.9838313123726,1.46178407968659,NA
"AJRD",-271.338260869565,24.378046875,11.7307894736842,1.32980609418283,NA
"AET",34.4750136554622,4.21312105263158,-141.466435344828,1.08433841579252,0.00888172176091605
"AMG",9.7595554546773,1.76056027575742,5.7494988773069,2.91939847548807,0.00667239939606814
"AFL",7.36781146828845,1.3790309781283,5.535477154047,1.55545689655172,0.0194862217377559
"AGCO",24.1261112412017,1.48438973308688,7.78585030360111,0.541396151852164,0.00989525013760601
"A",31.4389226909941,4.45129851389774,24.1892273573003,4.80863665488372,0.00790542392749041
"AEM",35.3669068052008,1.74359096266801,11.2376394196131,3.84621127938771,0.008819749114976
"ADC",32.0703303964758,2.05100806571428,22.6715696507427,15.9896275578053,0.0295899860095481
"AL",5.86841915382093,1.07510096568286,4.18737609145118,2.9263224785344,0.00697094747609109
"APD",11.6702925209972,3.47162912494299,22.3327671917852,4.27665563535102,0.0225014342829456
"AYR",10.9374880984002,0.841880240977498,3.27161400856844,2.02330852189689,0.0519527361799296
"AKS",241.214012903226,-6.92373555555556,7.52277102615694,0.245954589260752,NA
"ALG",NA,NA,14.3275245748828,NA,0.00454829510154828
"AGI",71.5132841383459,0.709478352260182,11.6345771136391,3.50451981960206,0.00315415397981264
"ALK",7.62107957446809,2.11776304219296,4.95609828930818,0.993343789234842,0.0187812580729271
"AIN",62.8241369937483,3.65090703584617,32.3933287654167,2.40839302688265,0.0105130830653264
"ALB",192.066235186873,2.86697306254455,-53.8249422656394,3.42933440886257,0.0133421194241997
"AA",31.1018874632258,1.49217545423834,5.51397841464052,0.579223273216615,NA
"ALEX",6.5965508804205,2.32981523205446,-1158.45582,3.53934798119859,0.00683934318969274
"ALX",21.0961419158107,4.93794039772645,13.760709165816,7.36609196830519,0.0512008362889222
"ARE",89.7947085525637,2.22214118305851,28.9917318603231,11.5596822519937,0.0246444050749275
"AQN",39.2430801361606,NA,NA,NA,NA
"BABA",6.01329600305071,1.05177038219462,3.07388088898547,1.53740717778364,NA
"Y",100.79824010074,1.06708721499947,20.3826214566951,1.41412227971774,NA
"ATI",-38.0197519042437,2.00874738415546,155.982821428571,0.991181867181073,NA
"ALLE",29.6272627811196,20.1621785808765,23.321229602765,3.36231663403372,0.00752118257888322
"AGN",-14.4899015781466,0.926270587620516,10.8645890897947,4.00309130464785,0.0190904300029187
"ALE",22.7006693728223,1.89007604003481,9.70229651526433,2.75421353202283,0.0278072302905118
"ADS",14.8418080131863,6.30934834258611,4.48564300275904,1.51640464025701,0.00986695923530632
"AB",14.3997666592743,1.93503832075411,14.7563282446519,12.8524886722061,0.0677601699515111
"LNT",22.4182735520665,2.4513118682416,10.4249303389872,3.03112663218024,0.028121680955724
"NFJ",7.18572987870319,0.811884741414491,NA,28.4145072217349,NA
"ALSN",12.9224457142857,9.45270339622641,9.89804352583587,2.87927172413793,0.0136651610300119
"ALL",10.7193337064758,1.58329788416246,7.63572380157626,0.855064699408161,0.0194593208101782
"ALLY",11.8582496137783,0.816386089461983,2.70073887992155,1.90824768598649,0.0167025015642466
"AYX",-91.3740036957191,11.5967553939962,93.9739397138785,13.5262435888669,NA
"ATUS",6.18499808127235,1.67816422912138,4.57590021439398,0.992301116907257,0.0995438492065022
"MO",11.2227452798746,7.4502037989829,23.2754538433482,5.87677151005232,0.0419598913340974
"ACH",119.025012755908,3.82425075085369,11.5004613541988,0.83837662856824,0.0544654624937551
"AMBR",-20.6127137413209,10.4902630404951,-399.33658772527,3.38283210947023,NA
"ABEV",9.96940452242226,1.58873245897307,4.08947437680219,1.52602802041784,0.120661039462055
"AMC",NA,0.493585334217004,1.86620665831394,NA,0.100321329409919
"AEE",30.2273636711281,2.20057227171492,7.51374106463878,2.55931863364093,0.0272631046216516
"AMRC",NA,NA,NA,NA,NA
"AMOV",35.5874042297861,5.37500117445771,4.7923130977369,1.02153401320932,0.0154186229784563
"AAT",59.9106946727654,2.08948347626873,11.943691723859,5.60985695055856,0.0283015737374746
"AXL",5.50636377427184,1.18157389322917,2.80509659969088,0.289642116182573,NA
"ACC",81.4841595638648,1.57829767958255,17.1910453967758,6.90610139642688,0.0430054940617522
"AEO",18.7909982709894,3.07704064273804,9.7266067145675,1.01076987281682,0.0230808535374082
"AEP",18.4792266794939,1.93270459600809,8.27636028175347,2.29131916234141,0.0333386441388844
"AEL",16.9968015116379,1.04148873202424,1.54412047900715,0.759135849322958,0.0077981235992484
"AXP",34.0858398816705,4.92577507260218,6.63087904345052,2.94696061998031,0.0139337347719925
"AFG",19.1454147530105,1.70620487948968,5.04105987121951,1.36057331054458,0.0119858298799425
"AMH",-276.633826782923,1.1891626356563,15.8650479085711,6.3757768967273,0.0138851831924025
"AIG",-7.19927491597633,0.672084034137883,-5.10196722059406,0.883909926519081,0.0267577534757234
