"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"952","IHG","Intercontinental Hotels Group","53.44","$10.19B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/ihg",NA
"953","IBM","International Business Machines Corporation","129.1","$117.84B","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/ibm",NA
"954","IFF","International Flavors & Fragrances, Inc.","139.12","$14.84B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/iff",NA
"955","IGT","International Game Technology","16.6","$3.39B","2015","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/igt",NA
"956","IP","International Paper Company","42.24","$17.27B","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/ip",NA
"957","INSW","International Seaways, Inc.","21.51","$627.64M","2016","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/insw",NA
"958","IPG","Interpublic Group of Companies, Inc. (The)","24.65","$9.46B","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/ipg",NA
"959","INXN","InterXion Holding N.V.","60.92","$4.36B","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/inxn",NA
"960","IPI","Intrepid Potash, Inc","3.62","$474.61M","2008","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/ipi",NA
"961","IVC","Invacare Corporation","14.16","$470.62M","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ivc",NA
"962","IVR","INVESCO MORTGAGE CAPITAL INC","14.77","$1.65B","2009","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ivr",NA
"963","IVZ","Invesco Plc","21.98","$9.03B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ivz",NA
"964","ITG","Investment Technology Group, Inc.","27.73","$914.79M","n/a","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/itg",NA
"965","IRET","Investors Real Estate Trust","5.46","$652.51M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/iret",NA
"966","NVTA","Invitae Corporation","12.86","$887.96M","2015","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/nvta",NA
"967","INVH","Invitation Homes Inc.","21.89","$11.39B","2017","Finance","Real Estate","https://www.nasdaq.com/symbol/invh",NA
"968","IO","Ion Geophysical Corporation","13.5","$189.04M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/io",NA
"969","IQV","IQVIA Holdings, Inc.","126.89","$25.71B","2013","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/iqv",NA
"970","IRM","Iron Mountain Incorporated","32.18","$9.21B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/irm",NA
"971","IRS","IRSA Inversiones Y Representaciones S.A.","13.85","$801.47M","n/a","Consumer Services","Homebuilding","https://www.nasdaq.com/symbol/irs",NA
"972","ICL","Israel Chemicals Shs","6.19","$7.92B","2014","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/icl",NA
"973","STAR","iStar Inc.","10.61","$721.14M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/star",NA
"974","ITCB","Ita? CorpBanca","14.6187","$4.99B","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/itcb",NA
"975","ITUB","Itau Unibanco Banco Holding SA","12.91","$83.6B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/itub",NA
"976","ITT","ITT Inc.","50.59","$4.43B","2011","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/itt",NA
