"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"1","DDD","3D Systems Corporation","16.61","$1.89B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",NA
"2","MMM","3M Company","199.85","$117.23B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mmm",NA
"3","WBAI","500.com Limited","7.3","$308.46M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/wbai",NA
"4","WUBA","58.com Inc.","62.27","$9.18B","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",NA
"5","EGHT","8x8 Inc","17.81","$1.66B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",NA
"6","AHC","A.H. Belo Corporation","4.67","$101.32M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/ahc",NA
"7","ATEN","A10 Networks, Inc.","5.97","$434.06M","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",NA
"8","AAC","AAC Holdings, Inc.","6.92","$170.21M","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aac",NA
"9","AIR","AAR Corp.","43.98","$1.54B","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",NA
"10","AAN","Aaron&#39;s,  Inc.","48.55","$3.52B","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",NA
"11","ABB","ABB Ltd","20.98","$44.72B","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",NA
"12","ABT","Abbott Laboratories","67.59","$118.57B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abt",NA
"13","ABBV","AbbVie Inc.","87.97","$133.21B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abbv",NA
"14","ANF","Abercrombie & Fitch Company","16.96","$1.13B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/anf",NA
"15","ABM","ABM Industries Incorporated","31.8","$2.09B","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",NA
"16","AKR","Acadia Realty Trust","27.85","$2.27B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/akr",NA
"17","ACN","Accenture plc","158.28","$101.28B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",NA
"18","ACCO","Acco Brands Corporation","10.09","$1.05B","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",NA
"19","ATV","Acorn International, Inc.","27.2325","$72.99M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",NA
"20","ATU","Actuant Corporation","23.85","$1.45B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",NA
"21","AYI","Acuity Brands Inc","123.94","$4.98B","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",NA
"22","GOLF","Acushnet Holdings Corp.","24.04","$1.8B","2016","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/golf",NA
"23","AGRO","Adecoagro S.A.","8.09","$942.93M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/agro",NA
"24","ADNT","Adient plc","30.19","$2.82B","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",NA
"25","ADT","ADT Inc.","7.77","$5.96B","2018","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/adt",NA
"26","ATGE","Adtalem Global Education Inc.","47.51","$2.82B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atge",NA
"27","AAP","Advance Auto Parts Inc","164.33","$12.17B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/aap",NA
"28","ADSW","Advanced Disposal Services, Inc.","26.76","$2.37B","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",NA
"29","WMS","Advanced Drainage Systems, Inc.","27.17","$1.55B","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",NA
"30","ASIX","AdvanSix Inc.","29.49","$894.46M","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/asix",NA
"31","ACM","AECOM","31.14","$5.01B","2007","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/acm",NA
"32","ANW","Aegean Marine Petroleum Network Inc.","1.03","$41.86M","2006","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/anw",NA
"33","AEG","Aegon NV","6.1","$12.47B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",NA
"34","AER","Aercap Holdings N.V.","52.72","$7.83B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",NA
"35","HIVE","Aerohive Networks, Inc.","3.97","$219.63M","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",NA
"36","AJRD","Aerojet Rocketdyne Holdings, Inc. ","32.21","$2.44B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",NA
"37","AET","Aetna Inc.","200.19","$65.54B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aet",NA
"38","AMG","Affiliated Managers Group, Inc.","123.31","$6.59B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",NA
"39","AFL","Aflac Incorporated","44.47","$34.14B","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",NA
"40","AGCO","AGCO Corporation","54.39","$4.3B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",NA
"41","A","Agilent Technologies, Inc.","64.47","$20.55B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",NA
"42","AEM","Agnico Eagle Mines Limited","37.02","$8.67B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aem",NA
"43","ADC","Agree Realty Corporation","54.04","$1.89B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/adc",NA
"44","AL","Air Lease Corporation","41.69","$4.34B","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",NA
"45","APD","Air Products and Chemicals, Inc.","155.4","$34.07B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/apd",NA
"46","AYR","Aircastle Limited","20.39","$1.59B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",NA
"47","AKS","AK Steel Holding Corporation","4.44","$1.4B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/aks",NA
"48","ALG","Alamo Group, Inc.","82.28","$964.95M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",NA
"49","AGI","Alamos Gold Inc.","4.61","$1.8B","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/agi",NA
"50","ALK","Alaska Air Group, Inc.","62.58","$7.71B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/alk",NA
"51","AIN","Albany International Corporation","68.58","$2.21B","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/ain",NA
"52","ALB","Albemarle Corporation","95.63","$10.37B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/alb",NA
"53","AA","Alcoa Corporation","38.6","$7.2B","2016","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/aa",NA
"54","ALEX","Alexander & Baldwin, Inc.","20.13","$1.45B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alex",NA
"55","ALX","Alexander&#39;s, Inc.","330","$1.69B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alx",NA
"56","ARE","Alexandria Real Estate Equities, Inc.","122.42","$12.95B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/are",NA
"57","AQN","Algonquin Power & Utilities Corp.","10.15","$4.78B","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqn",NA
"58","BABA","Alibaba Group Holding Limited","142.93","$367.61B","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",NA
"59","Y","Alleghany Corporation","614.82","$9.18B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",NA
"60","ATI","Allegheny Technologies Incorporated","26.75","$3.36B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ati",NA
"61","ALLE","Allegion plc","81.79","$7.77B","2013","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/alle",NA
"62","AGN","Allergan plc.","189.53","$64.33B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agn",NA
"63","ALE","Allete, Inc.","76.99","$3.95B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ale",NA
"64","ADS","Alliance Data Systems Corporation","216.18","$11.88B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",NA
"65","AB","AllianceBernstein Holding L.P.","30.26","$2.96B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/ab",NA
"66","LNT","Alliant Energy Corporation","44.05","$10.3B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/lnt",NA
"67","NFJ","AllianzGI NFJ Dividend, Interest & Premium Strategy Fund","12.45","$1.18B","2005","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/nfj",NA
"68","ALSN","Allison Transmission Holdings, Inc.","47.59","$6.21B","2012","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alsn",NA
"69","ALL","Allstate Corporation (The)","97.32","$33.7B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/all",NA
"70","ALLY","Ally Financial Inc.","25.94","$10.95B","2014","Finance","Major Banks","https://www.nasdaq.com/symbol/ally",NA
"71","AYX","Alteryx, Inc.","43.17","$2.63B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ayx",NA
"72","ATUS","Altice USA, Inc.","18.08","$13.33B","2017","Consumer Services","Television Services","https://www.nasdaq.com/symbol/atus",NA
"73","MO","Altria Group","61.95","$116.79B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/mo",NA
"74","ACH","Aluminum Corporation of China Limited","9.62","$5.73B","2001","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/ach",NA
"75","AMBR","Amber Road, Inc.","9.01","$247.96M","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ambr",NA
"76","ABEV","Ambev S.A.","4.51","$70.9B","2013","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/abev",NA
"77","AMC","AMC Entertainment Holdings, Inc.","19.81","$2.53B","2013","Consumer Services","Movies/Entertainment","https://www.nasdaq.com/symbol/amc",NA
"78","AEE","Ameren Corporation","66.05","$16.12B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/aee",NA
"79","AMRC","Ameresco, Inc.","12.48","$570.93M","2010","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/amrc",NA
"80","AMOV","America Movil, S.A.B. de C.V.","14.99","$49.5B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov",NA
"81","AAT","American Assets Trust, Inc.","36.79","$1.74B","2011","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aat",NA
"82","AXL","American Axle & Manufacturing Holdings, Inc.","15.59","$1.74B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/axl",NA
"83","ACC","American Campus Communities Inc","40.3","$5.52B","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/acc",NA
"84","AEO","American Eagle Outfitters, Inc.","21","$3.72B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/aeo",NA
"85","AEP","American Electric Power Company, Inc.","73.26","$36.11B","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aep",NA
"86","AEL","American Equity Investment Life Holding Company","32.92","$2.97B","2003","Finance","Life Insurance","https://www.nasdaq.com/symbol/ael",NA
"87","AXP","American Express Company","106.73","$91.9B","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/axp",NA
"88","AFG","American Financial Group, Inc.","102.22","$9.11B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afg",NA
"89","AMH","American Homes 4 Rent","20.76","$6.15B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/amh",NA
"90","AIG","American International Group, Inc.","47.2","$41.93B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/aig",NA
"91","AMID","American Midstream Partners, LP","6.14","$325.3M","2011","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amid",NA
"92","ARL","American Realty Investors, Inc.","16.37","$261.87M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/arl",NA
"93","ARA","American Renal Associates Holdings, Inc","17.73","$575.64M","2016","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/ara",NA
"94","AWR","American States Water Company","62.28","$2.29B","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awr",NA
"95","AMT","American Tower Corporation (REIT)","150.15","$66.19B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/amt",NA
"96","AVD","American Vanguard Corporation","15.98","$484.59M","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/avd",NA
"97","AWK","American Water Works","91.94","$16.59B","2008","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/awk",NA
"98","COLD","Americold Realty Trust","24.43","$3.6B","2018","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/cold",NA
"99","APU","AmeriGas Partners, L.P.","39.53","$3.68B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/apu",NA
"100","AMP","AMERIPRISE FINANCIAL SERVICES, INC.","135.86","$19.27B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amp",NA
"101","ABC","AmerisourceBergen Corporation (Holding Co)","92.8","$20.08B","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/abc",NA
"102","ANFI","Amira Nature Foods Ltd","0.8101","$30.71M","2012","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/anfi",NA
"103","AMN","AMN Healthcare Services Inc","52.2","$2.48B","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/amn",NA
"104","AP","Ampco-Pittsburgh Corporation","4.5","$56.21M","n/a","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/ap",NA
"105","APH","Amphenol Corporation","82.97","$24.92B","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aph",NA
"106","AXR","AMREP Corporation","7.57","$61.53M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/axr",NA
"107","AME","AMTEK, Inc.","70.61","$16.37B","n/a","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/ame",NA
"108","APC","Anadarko Petroleum Corporation","66","$33.8B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",NA
"109","ANDX","Andeavor Logistics LP","45.58","$11.19B","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",NA
"110","AU","AngloGold Ashanti Limited","9.79","$4.03B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/au",NA
"111","BUD","Anheuser-Busch Inbev SA","83.86","$164.07B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/bud",NA
"112","AXE","Anixter International Inc.","63.95","$2.14B","n/a","Consumer Non-Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/axe",NA
"113","NLY","Annaly Capital Management Inc","9.96","$12.98B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/nly",NA
"114","AMGP","Antero Midstream GP LP","18.01","$3.35B","2017","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/amgp",NA
"115","AM","Antero Midstream Partners LP","32.88","$6.15B","2014","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/am",NA
"116","AR","Antero Resources Corporation","18.21","$5.77B","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",NA
"117","ANTM","Anthem, Inc.","279.15","$72.57B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/antm",NA
"118","ANH","Anworth Mortgage Asset  Corporation","4.35","$427.92M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/anh",NA
"119","AON","Aon plc","151.1","$36.67B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/aon",NA
"120","APA","Apache Corporation","42.1","$16.1B","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",NA
"121","AIV","Apartment Investment and Management Company","43.23","$6.8B","1994","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aiv",NA
"122","APY","Apergy Corporation","40.69","$3.15B","2018","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/apy",NA
"123","ARI","Apollo Commercial Real Estate Finance","18.57","$2.47B","2009","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/ari",NA
"124","APO","Apollo Global Management, LLC","29.49","$11.92B","2011","Finance","Investment Managers","https://www.nasdaq.com/symbol/apo",NA
"125","APLE","Apple Hospitality REIT, Inc.","16.37","$3.77B","2015","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aple",NA
"126","AIT","Applied Industrial Technologies, Inc.","69.75","$2.7B","n/a","Consumer Durables","Industrial Specialties","https://www.nasdaq.com/symbol/ait",NA
"127","ATR","AptarGroup, Inc.","104.32","$6.49B","n/a","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/atr",NA
"128","APTV","Aptiv PLC","74.29","$19.67B","2011","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/aptv",NA
"129","WTR","Aqua America, Inc.","37.72","$6.71B","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/wtr",NA
"130","AQ","Aquantia Corp.","11.93","$408.72M","2017","Technology","Semiconductors","https://www.nasdaq.com/symbol/aq",NA
"131","WAAS","AquaVenture Holdings Limited","18.68","$496.53M","2016","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/waas",NA
"132","ARMK","Aramark","38.25","$9.43B","2013","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/armk",NA
"133","ABR","Arbor Realty Trust","11.78","$888.1M","2004","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/abr",NA
"134","ARC","ARC Document Solutions, Inc.","2.63","$120.11M","2004","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/arc",NA
"135","MT","ArcelorMittal","27.27","$27.63B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/mt",NA
"136","ARCH","Arch Coal, Inc.","93.22","$1.83B","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",NA
"137","ADM","Archer-Daniels-Midland Company","49.54","$27.73B","n/a","Consumer Non-Durables","Packaged Foods","https://www.nasdaq.com/symbol/adm",NA
"138","AROC","Archrock, Inc.","10.76","$1.39B","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/aroc",NA
"139","ARNC","Arconic Inc.","21.88","$10.57B","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/arnc",NA
"140","ARCO","Arcos Dorados Holdings Inc.","6.43","$1.34B","2011","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/arco",NA
"141","RCUS","Arcus Biosciences, Inc.","11.79","$524.14M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rcus",NA
"142","ARD","Ardagh Group S.A.","15.47","$3.66B","2017","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/ard",NA
"143","ASC","Ardmore Shipping Corporation","6.82","$225.73M","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/asc",NA
"144","ACRE","Ares Commercial Real Estate Corporation","13.94","$400.06M","2012","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/acre",NA
"145","ARES","Ares Management L.P.","20.41","$4.46B","2014","Finance","Investment Managers","https://www.nasdaq.com/symbol/ares",NA
"146","AGX","Argan, Inc.","42.22","$657.31M","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/agx",NA
"147","ARGO","Argo Group International Holdings, Ltd.","60.18","$2.05B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/argo",NA
"148","ANET","Arista Networks, Inc.","229.76","$17.19B","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/anet",NA
"149","AI","Arlington Asset Investment Corp","8.4","$241.36M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/ai",NA
"150","ARLO","Arlo Technologies, Inc.","11.96","$888M","2018","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/arlo",NA
"151","AHH","Armada Hoffler Properties, Inc.","14.98","$732.4M","2013","Finance","Real Estate","https://www.nasdaq.com/symbol/ahh",NA
"152","ARR","ARMOUR Residential REIT, Inc.","20.68","$870.15M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/arr",NA
"153","AFI","Armstrong Flooring, Inc.","16.3","$420.09M","2016","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/afi",NA
"154","AWI","Armstrong World Industries Inc","60.63","$3.13B","n/a","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/awi",NA
"155","ARW","Arrow Electronics, Inc.","68.22","$5.96B","n/a","Consumer Non-Durables","Electronic Components","https://www.nasdaq.com/symbol/arw",NA
"156","AJG","Arthur J. Gallagher & Co.","72.67","$13.27B","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/ajg",NA
"157","APAM","Artisan Partners Asset Management Inc.","28.31","$2.18B","2013","Finance","Investment Managers","https://www.nasdaq.com/symbol/apam",NA
"158","ABG","Asbury Automotive Group Inc","59.76","$1.22B","2002","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/abg",NA
"159","ASX","ASE Technology Holding Co., Ltd.","4","$8.35B","2018","Technology","Semiconductors","https://www.nasdaq.com/symbol/asx",NA
"160","ASGN","ASGN Incorporated","62.9","$3.29B","1992","Technology","Professional Services","https://www.nasdaq.com/symbol/asgn",NA
"161","AHT","Ashford Hospitality Trust Inc","5.49","$541.38M","2003","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/aht",NA
"162","ASH","Ashland Global Holdings Inc.","74.66","$4.66B","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/ash",NA
"163","ASPN","Aspen Aerogels, Inc.","3.65","$87.38M","2014","Consumer Services","RETAIL: Building Materials","https://www.nasdaq.com/symbol/aspn",NA
"164","AHL","Aspen Insurance Holdings Limited","41.87","$2.5B","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ahl",NA
"165","ASB","Associated Banc-Corp","23.02","$3.9B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asb",NA
"166","AC","Associated Capital Group, Inc.","39.19","$901.03M","2015","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/ac",NA
"167","AIZ","Assurant, Inc.","106.17","$6.63B","2004","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/aiz",NA
"168","AGO","Assured Guaranty Ltd.","40.88","$4.43B","2004","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ago",NA
"169","AZN","Astrazeneca PLC","39.21","$99.34B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/azn",NA
"170","HOME","At Home Group Inc.","26.01","$1.65B","2016","Consumer Services","Home Furnishings","https://www.nasdaq.com/symbol/home",NA
"171","T","AT&T Inc.","32.87","$238.7B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/t",NA
"172","ATTO","Atento S.A.","6.62","$489.28M","2014","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/atto",NA
"173","ATH","Athene Holding Ltd.","48.74","$9.74B","2016","Finance","Life Insurance","https://www.nasdaq.com/symbol/ath",NA
"174","ATKR","Atkore International Group Inc.","22.71","$1.05B","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atkr",NA
"175","AT","Atlantic Power Corporation","2.19","$242.65M","n/a","Energy","Electric Utilities: Central","https://www.nasdaq.com/symbol/at",NA
"176","ATO","Atmos Energy Corporation","97.07","$10.79B","n/a","Public Utilities","Oil/Gas Transmission","https://www.nasdaq.com/symbol/ato",NA
"177","AUO","AU Optronics Corp","3.68","$3.54B","2002","Technology","Semiconductors","https://www.nasdaq.com/symbol/auo",NA
"178","ATHM","Autohome Inc.","63.78","$7.47B","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/athm",NA
"179","ALV","Autoliv, Inc.","79.98","$6.97B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alv",NA
"180","AN","AutoNation, Inc.","38.9","$3.5B","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/an",NA
"181","AZO","AutoZone, Inc.","725.8","$18.68B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/azo",NA
"182","AVLR","Avalara, Inc.","35.26","$2.34B","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/avlr",NA
"183","AVB","AvalonBay Communities, Inc.","177.97","$24.6B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/avb",NA
"184","AGR","Avangrid, Inc.","48.62","$15.02B","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/agr",NA
"185","AVNS","Avanos Medical, Inc.","59.58","$2.82B","2014","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/avns",NA
"186","AVYA","Avaya Holdings Corp.","17.8","$1.96B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/avya",NA
"187","AVY","Avery Dennison Corporation","97.58","$8.53B","n/a","Consumer Durables","Containers/Packaging","https://www.nasdaq.com/symbol/avy",NA
"188","AVH","Avianca Holdings S.A.","5.45","$679.2M","2013","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/avh",NA
"189","AVA","Avista Corporation","51.84","$3.41B","n/a","Public Utilities","Power Generation","https://www.nasdaq.com/symbol/ava",NA
"190","AVP","Avon Products, Inc.","1.99","$880.27M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/avp",NA
"191","AVX","AVX Corporation","16.08","$2.71B","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/avx",NA
"192","EQH","AXA Equitable Holdings, Inc.","20.74","$11.64B","2018","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/eqh",NA
"193","AXTA","Axalta Coating Systems Ltd.","25.5","$6.14B","2014","Basic Industries","Paints/Coatings","https://www.nasdaq.com/symbol/axta",NA
"194","AXS","Axis Capital Holdings Limited","55.85","$4.67B","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/axs",NA
"195","AX","Axos Financial, Inc.","32.84","$2.06B","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ax",NA
